item_name,price,description,dietery,features,rating
Party For 2 To 3,899,2 Biryanis (500ml Bowls) + 1 starter (full portion) + 2 Raita (100ml) + 2 Gulab Jamun + 1 Coke (475ml),Veg,[],4.2
Party For 4 To 6,1699,4 Biryanis (500ml Bowls) + 2 starter (full portion) + 2 Salan (100ml) + 1 Raita (300ml) + 4 Gulab Jamun + 2 Coke (475ml),Non Veg,[],4.5
Party For 8 To 10,3299,4 Biryanis (750ml ) + 4 starter (full portion) + Salan (300ml) + 2 Raita (300ml) + 8 Gulab Jamun + 4 Coke (475ml),Non Veg,[],4.5
Handi Party For 4 To 6,2499,2 Handi Biryani (1 kg) + 2 starter (full portion) + 2 Salan (100ml) + 1 Raita (300ml) + 4 Gulab Jamun + 2 Coke (475ml),Non Veg,[],4.2
Starter Pack For 2,399,1 starter (full portion) + 1 Onion Salad (100ml) + 1 Coke (475ml),Non Veg,[],4.0
Starter Pack For 4,749,2 starters (full portion) + 2 Onion Salad (100ml) + 2 Coke (475ml),Non Veg,[],4.5
Starter Pack For 8,1399,4 starters (full portion) + 1 Onion Salad (300ml) + 4 Coke (475ml),Non Veg,[],4.2
Starter Pack For 16,2699,8 starters (full portion) + 2 Onion Salad (300ml) + 8 Coke (475ml),Non Veg,[],3.6
Veg Paratha Combo (serves 1),249,2 parota's + Paneer butter masala + Gulab Jamun (1pcs),Non Veg,[],4.5
Chicken Paratha Combo (serves 1),279,2 parota's + Andhra Chicken Curry + Gulab Jamun (1pcs),Non Veg,[],4.6
Veg Biryani Combo (serves 1),299,Veg Biryani (500ml)+ Paneer 65 (150ml)+ Gulab Jamun (1pcs),Veg,[],3.8
Paneer Biryani Combo (serves 1),319,Paneer Biryani (500ml)+ Paneer 65 (150ml)+ Gulab Jamun (1pcs),Non Veg,[],4.2
Pepper Paneer Biryani Combo (serves 1),319,Pepper Paneer Biryani (500ml) + Paneer 65 (150ml)+ Gulab Jamun (1pcs),Veg,[],4.8
Chicken Biryani Combo (serves 1),339,Chicken Biryani(500ml) + Chicken 65 (150ml)+ Gulab Jamun (1pcs),Veg,[],3.6
Pepper Chicken Biryani Combo (serves 1),339,Pepper Chicken Biryani (500ml)+ Chicken 65 (150ml)+ Gulab Jamun (1pcs),Veg,[],4.5
Chicken 65 Biryani Combo (serves 1),339,Chicken 65 Biryani (500ml) + Andhra Chicken Fry(150ml) + Gulab Jamun (1pcs),Non Veg,[],4.9
Veg Biryani Family Combo (serves 4),809,Veg Biryani (2*750ml) + Paneer 65 (full) + 4 Gulab Jamun (1pcs),Non Veg,[],5.0
Paneer Biryani Family Combo (serves 4),859,Paneer Biryani (2*750ml) + Paneer 65 (full) + 4 Gulab Jamun (1pcs),Non Veg,[],4.3
Pepper Paneer Biryani Family Combo (serves 4),859,Pepper Paneer Biryani (2*750ml)+ Paneer 65 (full)+ 4 Gulab Jamun (1pcs),Veg,[],3.7
Chicken Dum Biryani Family Combo (serves 4),859,Chicken Biryani (2*750ml)+ Chicken 65 (full) + 4 Gulab Jamun (1pcs),Veg,[],4.2
Pepper Chicken Biryani Family Combo (serves 4),859,Pepper Chicken Biryani (2*750ml) + Chicken 65 (full)+ 4 Gulab Jamun (1pcs),Veg,[],4.1
Chicken 65 Biryani Family Combo (serves 4),859,Chicken 65 Biryani (2*750ml)+ Andhra Chicken Fry (Full) + 4 Gulab Jamun (1pcs),Non Veg,[],4.4
Veg Dum Biryani Bowl - 500ml,219,"[Serves 1 value bowl with Raita] A handpicked selection of garden fresh vegetables, layered with aromatic saffron rice; delicately flavoured with herbs and blended spices.",Non Veg,[],4.5
Kathal Dum Biryani Bowl - 500ml,239,"[Serves 1 value bowl with Raita] Savor the exquisite Kathal Dum Biryani, featuring tender jackfruit marinated in aromatic spices, layered with fragrant basmati rice, and slow-cooked to perfection. A delightful vegetarian masterpiece",Non Veg,[],4.8
