item_name,price,description,dietery,features,rating
Big Big 6in1 Pizza - Veg,799,"6 Veggie Blockbusters in 1 Epic Pan Pizza: Corn N Cheese, Peppy Paneer, Farmhouse, Mexican Green Wave, Veg Paradise, Margherita",Veg,[],3.8
Big Big 6in1 Pizza - Non Veg,899,"6 Chicken Bangers in 1 Epic Pan Pizza: Pepper Barbeque Chicken, Chicken Dominator, Chicken Fiesta, Spiced Double Chicken, Chicken Pepperoni, Chicken Golden Delight",Non Veg,[],4.6
Peppy Paneer Cheese Burst,358,"Now in 3 New Flavours - Molten Cheese Indulgence with Flavorful trio of juicy paneer, crisp capsicum & spicy red paprika",Veg,[],3.7
Farmhouse Cheese Burst,348,"Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion, capsicum, tomato & grilled mushroom",Veg,['Best Seller'],4.5
Veggie Paradise Cheese Burst,358,"Now in 3 New Flavours - Molten Cheese Indulgence with Golden corn, black olives, capsicum & red paprika",Non Veg,[],3.7
Margherita Cheese Burst,188,Now in 3 New Flavours - Molten Cheese Indulgence with delight of 100% real mozzarella cheese,Veg,[],5.0
Spiced Double Chicken Pizza,408,Molten Cheese Indulgence with combination of Pepper Barbecue Chicken & Peri Peri Chicken for Chicken lovers,Veg,[],3.8
Mexican Green Wave Cheese Burst,358,"Now in 3 New Flavours - Molten Cheese Indulgence with Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",Veg,[],4.6
Pepper Barbecue Chicken Cheese Burst,338,Now in 3 New Flavours - Molten Cheese Indulgence with Pepper Barbecue chicken for that extra zing,Veg,[],3.7
Indi Tandoori Paneer Cheese Burst,418,"Now in 3 New Flavours - Molten Cheese Indulgence with spicy tandoori paneer, capsicum, red paprika & mint mayo",Veg,['Best Seller'],4.5
Indi Chicken Tikka Cheese Burst,478,"Now in 3 New Flavours - Molten Cheese Indulgence with wholesome flavour of tandoori masala topped with Chicken tikka, onion, red paprika & mint mayo",Non Veg,[],3.7
Double Cheese Margherita Cheese Burst,298,Now in 3 New Flavours - Molten Cheese Indulgence with loaded delight of 100% real mozzarella cheese,Veg,[],5.0
Cheese n Corn Cheese Burst,298,Molten Cheese Indulgence with a delectable combination of sweet & juicy golden corn,Non Veg,[],4.2
Chicken Golden Delight Cheese Burst,398,"Now in 3 New Flavours - Molten Cheese Indulgence with Double pepper Barbecue chicken, golden corn and extra cheese",Veg,[],4.3
Chicken Fiesta Cheese Burst,428,"Now in 3 New Flavours - Molten Cheese Indulgence with Grilled chicken rashers, peri-peri chicken, onion & capsicum",Non Veg,[],4.8
Fresh Veggie Cheese Burst,308,Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion & capsicum,Veg,[],4.8
Chicken Pepperoni Cheese Burst,468,"Now in 3 New Flavours - Molten Cheese Indulgence with American classic flavored Chicken Pepperoni, topped with extra cheese",Veg,[],4.9
Achari Do Pyaza Cheese Burst,288,Now in 3 New Flavours - Molten Cheese Indulgence with tangy & spicy achari flavours on a super cheesy onion pizza,Non Veg,[],3.2
The 5 Chicken Feast Cheese Burst,478,"Molten Cheese Indulgence Loaded with 5 different Chicken toppings - grilled Chicken Rashers, Chicken MeatBalls, Chicken Tikka, herby Chicken Sausage & Chicken Keema",Non Veg,[],4.7
Chicken Sausage Cheese Burst,298,Now in 3 New Flavours - Molten Cheese Indulgence with American classic herbed chicken sausage,Veg,[],5.0
Big Big 6in1 Pizza - Veg,799,"6 Veggie Blockbusters in 1 Epic Pan Pizza: Corn N Cheese, Peppy Paneer, Farmhouse, Mexican Green Wave, Veg Paradise, Margherita",Non Veg,[],4.9
Big Big 6in1 Pizza - Non Veg,899,"6 Chicken Bangers in 1 Epic Pan Pizza: Pepper Barbeque Chicken, Chicken Dominator, Chicken Fiesta, Spiced Double Chicken, Chicken Pepperoni, Chicken Golden Delight",Veg,[],4.7
Peppy Paneer Cheese Burst,358,"Now in 3 New Flavours - Molten Cheese Indulgence with Flavorful trio of juicy paneer, crisp capsicum & spicy red paprika",Non Veg,[],4.6
Farmhouse Cheese Burst,348,"Now in 3 New Flavours - Molten Cheese Indulgence with combination of onion, capsicum, tomato & grilled mushroom",Non Veg,[],3.3
Veggie Paradise Cheese Burst,358,"Now in 3 New Flavours - Molten Cheese Indulgence with Golden corn, black olives, capsicum & red paprika",Veg,[],4.5
Margherita Cheese Burst,188,Now in 3 New Flavours - Molten Cheese Indulgence with delight of 100% real mozzarella cheese,Veg,['Best Seller'],4.6
Spiced Double Chicken Pizza,408,Molten Cheese Indulgence with combination of Pepper Barbecue Chicken & Peri Peri Chicken for Chicken lovers,Non Veg,[],3.5
Mexican Green Wave Cheese Burst,358,"Now in 3 New Flavours - Molten Cheese Indulgence with Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno",Veg,[],5.0
Pepper Barbecue Chicken Cheese Burst,338,Now in 3 New Flavours - Molten Cheese Indulgence with Pepper Barbecue chicken for that extra zing,Veg,[],4.7
Indi Tandoori Paneer Cheese Burst,418,"Now in 3 New Flavours - Molten Cheese Indulgence with spicy tandoori paneer, capsicum, red paprika & mint mayo",Veg,[],4.7
