item_name,price,description,dietery,features,rating
Korean McSpicy®Paneer Meal*,367,Korean Crispy and spicy paneer patty with Gochujang Sauce and crispy lettuce topping and Red cabbage.,Veg,[],3.3
Korean McSpicy®Paneer Burger*,206,Juicy Chicken meat coated in crispy batter with a kick of spice topped with a Gochujang Sauce and crispy lettuce topping and Red cabbage.,Non Veg,[],4.1
EVM Korean McSpicy®Paneer*,352,A tikki delight:Potato and peas patty topped with Gochujang Sauce and onions with toasted buns,Veg,[],4.2
Large Korean McSpicy® Paneer,376,"""Order the exclusive Minecraft Meal today and get 1-6 FREE collectible cards with your meal! Don���t miss out on this limited-time offer!""",Veg,[],3.4
Korean McSpicy®Chicken Meal*,378,"""Order the exclusive Minecraft Meal today and get 1-6 FREE collectible cards with your meal! Don���t miss out on this limited-time offer!""",Veg,[],4.0
Korean McSpicy®Chicken Burger*,217,"Bite-sized pieces of breaded boneless chicken, fried and served hot with smoke-flavoured Barbeque Sauce or Mustard Sauce",Veg,[],4.6
EVM Korean McSpicy®Chicken*,360,"A crunchy patty made from a blend of 7 exotic veggies, topped with crisp lettuce and a tangy cocktail sauce, all nestled in soft, glazed potato buns. A delightful mix of bold flavours and ultimate satisfaction in every bite.",Non Veg,[],4.0
Large EVM Korean McSpicy�� Chicken,384,Delightfully crispy chicken sandwich with a crispy chicken patty topped with mayonnaise and shredded iceberg lettuce served on a perfectly toasty bun.,Non Veg,[],4.9
Korean McAlooTikki Meal*,229,"A crunchy patty made from a blend of 7 exotic veggies, topped with crisp lettuce and a tangy cocktail sauce, all nestled in soft, glazed potato buns. A delightful mix of bold flavours and ultimate satisfaction in every bite.",Non Veg,[],4.3
Korean McAloo Tikki Burger,68,"A golden, crispy chicken fillet made from whole muscle, paired with fresh lettuce and creamy ranch, all inside soft, glazed potato buns. Packed with bold flavours and pure satisfaction in every bite.",Non Veg,[],3.3
EVM Korean McAloo Tikki Burger,217,"Potato bun, with rich and crusty cheesy corn patty, topped with chunky vegetable-Roasted sauce served with Gherkin slices, Cheddar cheese patty and crisp iceberg lettuce and Red cabbage",Veg,[],4.2
Large EVM Korean McAloo Tikki,242,"Chunky juicy whole Muscle chicken patty with fresh and premium ingredients such as Gherkin slices ,Red cabbage and crunchy lettuce, dressed with Veg Mayo.",Veg,[],4.3
Minecraft Veg Surprise Meal,263,"An all time favourite treat bringing together the perfect blend of creamy vanilla soft serve and strawberry flavor.Now in new, convenient and delivery friendly packaging.",Veg,[],4.6
Minecraft Chicken Surprise Meal,268,"The classic sinful chocolate shake, a treat for anytime you need one. Now in a new, convenient and delivery friendly packaging",Veg,[],4.0
Minecraft Chicken McNuggets® 9pc,209,"A refreshing sweet treat made from vanilla flavour and Oreo cookie pieces which are blended with ice. Now in a new, convenient and delivery friendly packaging.",Veg,[],4.2
Minecraft Small McFlurry® Oreo,93,"Rich, creamy and irresistible cold coffee, created by blending a double shot of espresso, ice cream & milk",Non Veg,[],4.4
Minecraft Small McFlurry® Choc crunch,93,"Rich, creamy cold coffee, made with caramel syrup and milk, topped with whipped cream and with caramel sauce",Non Veg,[],3.9
McAloo Tikki Meal,117,"A refreshing shot of our signature McCaf�� coffee made with 100% arabica beans, topped with milk that is steamed to a thick, perfect foam.",Veg,[],4.4
Veg Surprise Meal,128,"A refreshing shot of our signature McCaf�� coffee made with 100% arabica beans, topped with milk that is steamed to a thick, perfect foam.",Veg,[],4.5
Chicken Surprise Meal,128,Rich in flavour espresso balanced with steamed milk and a light layer of foam,Veg,[],4.3
McEgg Meal,122,Rich in flavour espresso balanced with steamed milk and a light layer of foam,Veg,['Best Seller'],4.3
Crispy Veggie Burger*,196,"A refreshing combination of chocolate, our signature McCaf�� coffee made with 100% Arabica beans and steamed milk, topped off with chocolate syrup.",Veg,[],3.7
EVM Crispy Veggie*,334,"A refreshing combination of chocolate, our signature McCafé coffee made with 100% Arabica beans and steamed milk, topped off with chocolate syrup.",Non Veg,[],4.2
Large Crispy Veggie*,360,"Our Americano is bold and robust, made with our signature McCafé coffee combined with hot water. For coffee aficionados who prefer a bolder cup.",Non Veg,[],4.4
McCrispy® Chicken*,218,"Our Americano is bold and robust, made with our signature McCafé coffee combined with hot water. For coffee aficionados who prefer a bolder cup.",Veg,[],3.9
EVM McCrispy�� Chicken*,357,"A perfect blend of aromatic teas, infused with peach flavour. Now in a new, convenient and delivery friendly packaging",Veg,[],5.0
Large EVM McCrispy�� Chicken,383,A perfect silky treat made with sinful chocolate steamed with 100% real milk and topped with an even sweeter touch of more chocolate.,Veg,[],4.4
Crispy Veggie Double patty Burger,309,Concentrated black coffee shot.Our signature McCafé coffee made with 100% Arabica beans,Non Veg,[],4.1
EVM Crispy Veggie Double patty Burger,447,Freshly steamed milk with vanilla-flavoured syrup is marked with espresso,Non Veg,[],4.1
Large EVM Crispy Veggie Double patty Burger,474,Strawberry Cheesecake,Non Veg,[],5.0
McCrispy® Chicken Double patty Burger,332,Garlic Sub Marinara Toasty,Veg,[],4.3
EVM McCrispy® Chicken Double patty Burger,470,Combo of your Favorite Burger with choice of Beverage and Surprise Toy!,Veg,[],4.5
Large EVM McCrispy® Chicken Double patty Burger,497,Combo of your Favorite Burger with choice of Beveraget and Surprise Toy!,Veg,[],4.4
McVeggie Burger+ Small Fries+Small Coke+McPuff,202,Combo of your Favorite Burger with choice of Beverage and Surprise Toy!,Non Veg,[],4.4
McChicken Burger+Small Fries +Small Coke+McPuff,237,Combo of your Favorite Burger with choice of Beverage and Surprise Toy!,Non Veg,[],3.8
McAloo Tikki+Small Fries+Small drink+McPuff,143,"Big Mac sesame seeds bun, with rich and crusty cheesy corn patty, topped with chunky vegetable-cocktail sauce served with pungent jalapeño slices, red onion slices, tomato slices, Cheddar cheese slice and crisp iceberg lettuce.",Non Veg,[],4.1
McAloo Tikki+Small Fries+Small drink+McFlurry,166,Crispy and spicy paneer patty with creamy tandoori sauce and crispy lettuce topping.,Veg,[],4.7
McAloo Tikki+Small Coke,135,"A patty made of potatoes, peas, carrots, beans, onions, red capsicum and a selection of Indian spices, topped with crispy lettuce, mayonnaise, packed into sesame toasted buns.",Veg,['Best Seller'],4.4
VegSurprise+McPuff,125,Potato and peas patty topped with spicy Schezwan sauce and onions with toasted buns,Non Veg,[],4.6
McAloo Tikki+McPuff,104,"A tikki delight: Potato and peas patty topped with veg sauce, ketchup, tomatoes and onions with toasted buns",Veg,[],3.4
McEgg+Puff,111,Mildly spiced grilled paneer patty topped with makhani sauce and shredded onions placed between freshly toasted sesame seeded buns,Veg,['Best Seller'],4.2
Grand Cheese Signature Collection,259,A surprise that will leave you wide-eyed. A scrumptious potato patty topped with a delectable Italian herb sauce and shredded onions placed between perfectly toasted buns.,Veg,[],4.3
EVM Grand Cheese,397,"Chunky juicy grilled chicken patty with fresh and premium ingredients such as jalapeño, onion, Cheddar cheese, tomatoes and crunchy lettuce, dressed with classic Habanero sauce.",Veg,[],4.4
Large EVM Grand Cheese,421,"Made with Alaskan Pollock sourced from sustainable fisheries, topped with cheese slice and creamy tartar sauce, served on a soft, steamed bun.",Veg,[],3.6
Grand Chicken Signature Collection,263,Juicy Chicken meat coated in crispy batter with a kick of spice topped with a creamy sauce and crispy lettuce.,Veg,[],4.7
EVM Grand Chicken,401,Delightfully crispy chicken sandwich with a crispy chicken patty topped with mayonnaise and shredded iceberg lettuce served on a perfectly toasty bun.,Non Veg,[],2.6
Large EVM Grand Chicken,426,"Grilled chicken patty served with freshly toasted bun, tomatoes, onions and cool mint sauce",Veg,[],2.8
VM McVeggie®,198,"chicken patty served with freshly toasted bun,onions and Roasted Chipotle Sauce",Veg,[],4.9
McVeggie VM ®,177,"An Egg lover's delight! A unique combination of perfectly steamed egg, classic mayonnaise and chopped onions with a sprinkling of magic masala sandwiched in a toasted bun.",Veg,[],2.1
Aloo Wrap VM,155,"Tender paneer patty with a fiery, crunchy batter coating, dressed with fresh veggies and seasonings, topped with creamy sauce and a dash of mustard and melted cheese.",Non Veg,[],4.7
VM McChicken®,234,"Aloo Tikki patty topped with tandoori sauce, onions and lettuce wrapped in a tortilla.",Non Veg,[],3.7
McChicken VM��,213,"Juicy chicken coated with hot and crispy batter, dressed with fresh salad of lettuce, onions, tomatoes and seasonings. Served with creamy sauce and supple cheese slices.",Non Veg,[],4.5
VM Chicken McGrill®,198,"Grilled chicken patty topped with tandoori sauce, onions and lettuce wrapped in a tortilla.",Veg,[],3.9
Tandoori Chicken Wrap VM,181,"Egg patty topped with tandoori sauce, onions and lettuce wrapped in a tortilla.",Veg,[],4.9
Egg Wrap VM,167,Crispy and spicy paneer patty with creamy tandoori sauce and crispy lettuce topping.,Veg,[],4.6
Chicken McGrill VM®,177,"A patty made of potatoes, peas, carrots, beans, onions, red capsicum and a selection of Indian spices, topped with crispy lettuce, mayonnaise, packed into sesame toasted buns.",Non Veg,[],4.7
Iced Coffee,125,Mildly spiced grilled paneer patty topped with makhani sauce and shredded onions placed between freshly toasted sesame seeded buns,Non Veg,[],3.4
Watermelon Cooler,114,2 patties topped with spicy schezwan sauce and onions with toasted buns,Non Veg,[],3.5
Strawberry Shake,194,"A tikki delight: Potato and peas patty topped with veg sauce, ketchup, tomatoes and onions with toasted buns",Non Veg,[],4.3
Chocolate Shake,194,Juicy Chicken meat coated in crispy batter with a kick of spice topped with a creamy sauce and crispy lettuce.,Non Veg,[],4.9
Vanilla Oreo Shake,206,Delightfully crispy chicken sandwich with a crispy chicken patty topped with mayonnaise and served on a perfectly toasty bun.,Non Veg,[],3.2
Mango Thick Shake,194,"Made with Alaskan Pollock sourced from sustainable fisheries, topped with cheese slice and creamy tartar sauce, served on a soft, steamed bun.",Veg,[],5.0
Cold Coffee Frappe,206,Delightfully crispy chicken sandwich with a crispy chicken patty topped with mayonnaise and shredded iceberg lettuce served on a perfectly toasty bun.,Veg,[],4.5
Caramel Frappe,286,"2 grilled chicken patties served with freshly toasted bun, tomatoes, onions and cool mint sauce",Veg,[],3.3
Cappuccino,171,"Hi, it’s McFlavor on this side! The all-time favourite fries with a generous dollop of McFlavor yet smoky chipotle sauce and Gochujang Sauce",Veg,[],4.6
Cappuccino Small,114,"Hi, it’s McFlavor on this side! The all-time favourite fries with a generous dollop of McFlavor yet smoky chipotle sauce.",Veg,[],3.8
Latte,183,"Hi, it’s McFlavor on this side! The all-time favourite fries with a generous dollop of McFlavor yet smoky chipotle sauce.",Veg,[],4.2
